X,Y,rowid,cad_tot_houses,cad_tot_hab,cad_tot_hotels,cad_med_consq,cad_tot_parcs,cad_pk,cad_tot_srf_houses,cad_tot_srf_hotels,fc_tot_offer,fc_tot_owners,fc_avg_price,rn_ab_min_price,rn_fc_med_price,rn_fc_max_price,rn_fc_offer,rn_ab_tot_price,rn_fc_min_price,rn_ab_med_price,rn_ab_avg_price,rn_fc_avg_price,rn_ab_max_price,rn_ab_offer,rn_fc_tot_price,abnb_tot_beds,abnb_tot_hosts_listings,abnb_tot_price,abnb_tot_offer,abnb_tot_owners,abnb_pk,abnb_tot_reviews,abnb_tot_reviews_per_month,fl_n_tourists,fl_n_locals,fl_txt_madrid,fl_n_date,fl_n_user,fl_n_posts,fl_tag_madrid,h_cat3cod,h_id,h_web,h_title,h_zipcode,h_latitude,h_email,h_body,h_fax,h_phone,h_cat3txt,h_subadministrativearea,h_address,h_cat1txt,h_cat2txt,h_name,h_language,h_cat2cod,h_country,h_locality,h_longitude,h_cat1cod,local200_n_shops24h,local200_n_shops,local200_n_prox_fresco,local200_n_prox_supers,local200_n_epigrafes,local200_n_alquillercoche,local200_n_prox_alcohol,local200_n_fiesta,local200_n_prox_noalim,local200_n_alojamiento,local200_n_prox_educacion,local200_n_vacios,local200_n_locutoris,local200_n_restaurants,local200_n_desconocidos,local200_n_prox_pastelerias,local200_n_prox_supersbig,local200_n_agrupaciones,local200_n_locales,local200_n_sex,local300_n_shops24h,local300_n_shops,local300_n_prox_fresco,local300_n_prox_supers,local300_n_epigrafes,local300_n_alquillercoche,local300_n_prox_alcohol,local300_n_fiesta,local300_n_prox_noalim,local300_n_alojamiento,local300_n_prox_educacion,local300_n_vacios,local300_n_locutoris,local300_n_restaurants,local300_n_desconocidos,local300_n_prox_pastelerias,local300_n_prox_supersbig,local300_n_agrupaciones,local300_n_locales,local300_n_sex,tp_pricerange_tot,tp_rating_tot,tp_reviews_max,tp_reviews_min,tp_offers_tot,tp_reviews_med,tp_rating_avg,tp_pricerange_1,tp_pricerange_avg,tp_pricerange_3,tp_pricerange_2,tp_pricerange_0,tp_pricerange_med,tp_rating_min,tp_rating_med,tp_rating_max,tp_pk,tp_reviews_tot,tp_reviews_avg,rn_med_tramo
446400.0,4477264.735025169327855,1,192,332,0,4,33,4860,11394,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,2,30,0,0,0,1,0,2,0,0,9,0,0,0,1,79,0,,,,,,,,,,,,,,,,,,,,9
446400.0,4481768.067124848254025,2,153,50,0,3.29969,13,4881,15460,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,14,0,0,0,0,0,1,0,0,2,0,0,0,0,34,0,,,,,,,,,,,,,,,,,,,,9
446400.0,4472934.608006247319281,3,317,826,0,4.25699,3,4843,32985,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,25,0,0,0,1,0,1,1,0,7,0,1,0,0,50,0,0,0,8,4,57,0,0,0,4,0,2,2,0,15,0,1,0,0,115,0,,,,,,,,,,,,,,,,,,,,9
446400.0,4477437.940105926245451,4,64,114,0,3,2,4861,9200,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,34,0,0,0,1,0,3,1,0,12,0,0,0,0,49,0,0,0,0,2,35,0,0,0,1,0,3,1,0,12,0,0,0,0,81,0,,,,,,,,,,,,,,,,,,,,10
446400.0,4481941.272205605171621,5,33,11,0,4,1,4882,4256,0,,,,4258.33333333333,,,,4258.33333333333,,4258.33333333333,4258.33333333333,,4258.33333333333,1,,3,1,140.0,1,1,2360,20,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,,,,,,,,,,,,,,,,,,,,9
446400.0,4473107.813087004236877,6,248,711,0,3.83932,2,4844,27162,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,27,0,0,0,2,0,1,0,0,8,0,1,0,0,32,0,0,0,3,2,61,0,0,0,3,0,9,1,0,14,0,1,0,0,117,0,1,1,4,4,1,4.0,3.0,0,0.0,0,0,1,0.0,3.0,3.0,3.0,1984,4,4.0,7.5
446400.0,4477611.145186683163047,7,81,145,0,3,1,4862,11220,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,33,0,0,0,1,0,3,1,0,10,0,0,0,0,48,0,0,0,0,2,40,0,0,0,1,0,3,1,0,12,0,0,0,0,60,0,,,,,,,,,,,,,,,,,,,,10
446400.0,4482114.477286362089217,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,
446400.0,4473281.018167761154473,9,250,645,0,4.445245,2,4845,25548,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,44,0,0,0,2,0,8,0,0,8,0,1,0,0,57,0,0,0,10,2,65,0,0,0,8,0,11,0,0,16,0,7,0,0,149,0,1,1,6,6,1,6.0,2.5,0,0.0,0,0,1,0.0,2.5,2.5,2.5,1985,6,6.0,9
446400.0,4477784.350267440080643,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,30,0,0,0,1,1,1,1,0,5,0,0,0,0,40,0,,,,,,,,,,,,,,,,,,,,
